ITD,Mass
3.5,0.123
3.77,0.218
2.23,0.068
3.51,0.225
2.87,0.101
2.92,0.124
3.81,0.236
3.64,0.246
3.62,0.213
4.67,0.436
2.78,0.137
3.18,0.173
3.57,0.243
3.01,0.2
3.61,0.248
2.84,0.142
2.8,0.134
3.06,0.2
