ITD,Mass
3.4,0.232
3.3,0.165
3.55,0.263
3.38,0.136
3.4,0.183
3.08,0.17
3.18,0.199
3.19,0.111
3.08,0.172
3.08,0.176
3.18,0.233
3.14,0.169
3.04,0.167
3.12,0.187
3.27,0.16
3.18,0.201
3.06,0.132
3.27,0.117
3.17,0.127
3.28,0.13
