"","beeid","datetime","time","thoraxtemp","second","minute","start_time","elapse_sec","elapse_min"
"72","w04",2010-01-07 18:58:42,18:58:42,28.09,28,28s,68081,241,4.01666666666667
"73","w04",2010-01-07 18:59:13,18:59:13,28.63,31,31s,68081,272,4.53333333333333
"74","w04",2010-01-07 18:59:42,18:59:42,28.77,29,29s,68081,301,5.01666666666667
"75","w04",2010-01-07 19:00:12,19:00:12,28.87,30,30s,68081,331,5.51666666666667
"76","w04",2010-01-07 19:00:43,19:00:43,29.11,31,31s,68081,362,6.03333333333333
"77","w04",2010-01-07 19:01:15,19:01:15,29.04,32,32s,68081,394,6.56666666666667
"78","w04",2010-01-07 19:01:42,19:01:42,28.91,27,27s,68081,421,7.01666666666667
"79","w04",2010-01-07 19:02:12,19:02:12,31.14,30,30s,68081,451,7.51666666666667
"80","w04",2010-01-07 19:02:42,19:02:42,31.19,30,30s,68081,481,8.01666666666667
"81","w04",2010-01-07 19:03:12,19:03:12,30.9,30,30s,68081,511,8.51666666666667
"82","w04",2010-01-07 19:03:42,19:03:42,30.71,30,30s,68081,541,9.01666666666667
"83","w04",2010-01-07 19:04:12,19:04:12,31.24,30,30s,68081,571,9.51666666666667
"84","w04",2010-01-07 19:04:43,19:04:43,30.92,31,31s,68081,602,10.0333333333333
"85","w05",2010-01-07 19:05:48,19:05:48,17.84,0,0s,68748,0,0
"86","w05",2010-01-07 19:06:24,19:06:24,21.04,36,36s,68748,36,0.6
"87","w05",2010-01-07 19:06:49,19:06:49,22.61,25,25s,68748,61,1.01666666666667
"88","w05",2010-01-07 19:07:19,19:07:19,24.3,30,30s,68748,91,1.51666666666667
"89","w05",2010-01-07 19:07:49,19:07:49,26.73,30,30s,68748,121,2.01666666666667
"90","w05",2010-01-07 19:08:20,19:08:20,27.66,31,31s,68748,152,2.53333333333333
"91","w05",2010-01-07 19:08:49,19:08:49,28.82,29,29s,68748,181,3.01666666666667
"92","w05",2010-01-07 19:09:20,19:09:20,29.88,31,31s,68748,212,3.53333333333333
"93","w05",2010-01-07 19:09:58,19:09:58,31.5,38,38s,68748,250,4.16666666666667
"94","w05",2010-01-07 19:10:19,19:10:19,32.17,21,21s,68748,271,4.51666666666667
"95","w05",2010-01-07 19:10:49,19:10:49,34.19,30,30s,68748,301,5.01666666666667
"96","w05",2010-01-07 19:11:18,19:11:18,35.64,29,29s,68748,330,5.5
"97","w05",2010-01-07 19:11:49,19:11:49,36.33,31,31s,68748,361,6.01666666666667
"98","w05",2010-01-07 19:12:19,19:12:19,36.96,30,30s,68748,391,6.51666666666667
"99","w05",2010-01-07 19:12:48,19:12:48,37.99,29,29s,68748,420,7
"100","w05",2010-01-07 19:13:19,19:13:19,37.81,31,31s,68748,451,7.51666666666667
"101","w05",2010-01-07 19:13:49,19:13:49,38.15,30,30s,68748,481,8.01666666666667
"102","w05",2010-01-07 19:14:19,19:14:19,37.64,30,30s,68748,511,8.51666666666667
"103","w05",2010-01-07 19:14:49,19:14:49,37.35,30,30s,68748,541,9.01666666666667
"104","w05",2010-01-07 19:15:19,19:15:19,37.66,30,30s,68748,571,9.51666666666667
"105","w05",2010-01-07 19:15:49,19:15:49,37.61,30,30s,68748,601,10.0166666666667
"106","w06",2010-01-14 18:43:40,18:43:40,13.14,0,0s,67420,0,0
"107","w06",2010-01-14 18:44:11,18:44:11,16.77,31,31s,67420,31,0.516666666666667
"108","w06",2010-01-14 18:44:40,18:44:40,22.27,29,29s,67420,60,1
"109","w06",2010-01-14 18:45:11,18:45:11,23.82,31,31s,67420,91,1.51666666666667
"110","w06",2010-01-14 18:45:41,18:45:41,24.8,30,30s,67420,121,2.01666666666667
"111","w06",2010-01-14 18:46:11,18:46:11,25.99,30,30s,67420,151,2.51666666666667
"112","w06",2010-01-14 18:46:41,18:46:41,27.3,30,30s,67420,181,3.01666666666667
"113","w06",2010-01-14 18:47:11,18:47:11,27.32,30,30s,67420,211,3.51666666666667
"114","w06",2010-01-14 18:47:41,18:47:41,27.52,30,30s,67420,241,4.01666666666667
"115","w06",2010-01-14 18:48:11,18:48:11,28.14,30,30s,67420,271,4.51666666666667
"116","w06",2010-01-14 18:48:41,18:48:41,28.8,30,30s,67420,301,5.01666666666667
"117","w06",2010-01-14 18:49:11,18:49:11,29.01,30,30s,67420,331,5.51666666666667
"118","w06",2010-01-14 18:49:41,18:49:41,29.06,30,30s,67420,361,6.01666666666667
"119","w06",2010-01-14 18:50:13,18:50:13,29.1,32,32s,67420,393,6.55
"120","w06",2010-01-14 18:50:41,18:50:41,30.67,28,28s,67420,421,7.01666666666667
"121","w06",2010-01-14 18:51:11,18:51:11,31.45,30,30s,67420,451,7.51666666666667
"122","w06",2010-01-14 18:51:41,18:51:41,32.35,30,30s,67420,481,8.01666666666667
"123","w06",2010-01-14 18:52:11,18:52:11,33.65,30,30s,67420,511,8.51666666666667
"124","w06",2010-01-14 18:52:41,18:52:41,33.38,30,30s,67420,541,9.01666666666667
"125","w06",2010-01-14 18:53:11,18:53:11,34.24,30,30s,67420,571,9.51666666666667
"126","w06",2010-01-14 18:53:41,18:53:41,34.41,30,30s,67420,601,10.0166666666667
"127","w08",2010-01-14 19:22:55,19:22:55,14.46,0,0s,69775,0,0
"128","w08",2010-01-14 19:23:25,19:23:25,16.36,30,30s,69775,30,0.5
"129","w08",2010-01-14 19:23:56,19:23:56,18.46,31,31s,69775,61,1.01666666666667
"130","w08",2010-01-14 19:24:25,19:24:25,21.56,29,29s,69775,90,1.5
"131","w08",2010-01-14 19:24:56,19:24:56,23.47,31,31s,69775,121,2.01666666666667
"132","w08",2010-01-14 19:25:26,19:25:26,24.17,30,30s,69775,151,2.51666666666667
"133","w08",2010-01-14 19:25:55,19:25:55,24.94,29,29s,69775,180,3
"134","w08",2010-01-14 19:26:26,19:26:26,25.5,31,31s,69775,211,3.51666666666667
"135","w08",2010-01-14 19:26:57,19:26:57,26.13,31,31s,69775,242,4.03333333333333
"136","w08",2010-01-14 19:27:26,19:27:26,27.37,29,29s,69775,271,4.51666666666667
"137","w08",2010-01-14 19:27:56,19:27:56,28.15,30,30s,69775,301,5.01666666666667
"138","w08",2010-01-14 19:28:26,19:28:26,29.9,30,30s,69775,331,5.51666666666667
"139","w08",2010-01-14 19:28:56,19:28:56,29.74,30,30s,69775,361,6.01666666666667
"140","w08",2010-01-14 19:29:25,19:29:25,29.73,29,29s,69775,390,6.5
"141","w08",2010-01-14 19:29:55,19:29:55,31.79,30,30s,69775,420,7
"142","w08",2010-01-14 19:30:25,19:30:25,33.98,30,30s,69775,450,7.5
"143","w08",2010-01-14 19:30:56,19:30:56,34.84,31,31s,69775,481,8.01666666666667
"144","w08",2010-01-14 19:31:25,19:31:25,35.61,29,29s,69775,510,8.5
"145","w08",2010-01-14 19:31:55,19:31:55,35.67,30,30s,69775,540,9
"146","w08",2010-01-14 19:32:25,19:32:25,36.79,30,30s,69775,570,9.5
"147","w08",2010-01-14 19:32:56,19:32:56,35.9,31,31s,69775,601,10.0166666666667
